measure_date,rainfall,temperature,humidity,precipitation_type,loc_id
2020-01-05 05:00:00,0.0,5.5,31.0,0.0,1
2020-01-05 06:00:00,0.0,4.6,40.0,0.0,1
2020-01-05 07:00:00,0.0,3.6,46.0,0.0,1
2020-01-05 08:00:00,0.0,2.3,57.0,0.0,1
2020-01-05 09:00:00,0.0,2.0,61.0,0.0,1
2020-01-05 10:00:00,0.0,0.6,68.0,0.0,1
2020-01-05 11:00:00,0.0,-0.3,72.0,0.0,1
2020-01-05 12:00:00,0.0,-1.0,77.0,0.0,1
2020-01-05 13:00:00,0.0,-0.6,75.0,0.0,1
2020-01-05 14:00:00,0.0,-0.6,79.0,0.0,1
2020-01-05 15:00:00,0.0,0.2,72.0,0.0,1
2020-01-05 16:00:00,0.0,1.1,67.0,0.0,1
2020-01-05 17:00:00,0.0,1.2,64.0,0.0,1
2020-01-05 18:00:00,0.0,1.0,66.0,0.0,1
2020-01-05 19:00:00,0.0,1.1,66.0,0.0,1
2020-01-05 20:00:00,0.0,1.4,66.0,0.0,1
2020-01-05 21:00:00,0.0,1.1,85.0,3.0,1
2020-01-05 22:00:00,0.0,0.7,94.0,3.0,1
2020-01-05 23:00:00,0.0,1.6,90.0,0.0,1
2020-01-06 00:00:00,0.0,2.5,72.0,3.0,1
2020-01-06 01:00:00,0.5,2.2,89.0,2.0,1
2020-01-06 02:00:00,0.5,2.5,93.0,1.0,1
2020-01-06 03:00:00,0.5,3.3,92.0,0.0,1
2020-01-06 04:00:00,0.0,3.3,93.0,1.0,1
2020-01-06 05:00:00,0.0,3.2,95.0,1.0,1
2020-01-06 06:00:00,0.0,3.0,96.0,1.0,1
2020-01-06 07:00:00,0.0,2.9,97.0,1.0,1
2020-01-06 08:00:00,0.5,3.0,98.0,1.0,1
2020-01-06 09:00:00,0.5,3.1,99.0,1.0,1
2020-01-06 10:00:00,0.5,3.3,99.0,1.0,1
2020-01-06 11:00:00,1.5,3.6,99.0,1.0,1
2020-01-06 12:00:00,1.0,3.9,99.0,1.0,1
2020-01-06 13:00:00,1.5,4.0,99.0,1.0,1
2020-01-06 14:00:00,1.0,4.2,99.0,1.0,1
2020-01-06 15:00:00,1.5,4.4,99.0,1.0,1
2020-01-06 16:00:00,2.5,4.6,99.0,1.0,1
2020-01-06 17:00:00,2.0,4.9,99.0,1.0,1
2020-01-06 18:00:00,4.0,5.1,99.0,1.0,1
2020-01-06 19:00:00,3.5,5.3,99.0,1.0,1
2020-01-06 20:00:00,1.0,5.4,99.0,1.0,1
2020-01-06 21:00:00,2.0,5.5,99.0,1.0,1
